"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 24 14:17:19 CET 2023","Fri Mar 24 14:17:33 CET 2023","14078","","add items to basket","","","","add specific ""skincare products"" to basket & validate cart total",""
"passed","Fri Mar 24 14:17:20 CET 2023","Fri Mar 24 14:17:34 CET 2023","14110","","add items to basket","","","","add specific ""skincare products"" to basket & validate cart total",""
